lettr,lettr-num,x-box,y-box,width,high,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
M,13,7,11,11,8,9,3,8,4,5,10,11,10,10,9,5,7
W,23,12,14,12,8,5,9,10,4,3,5,10,7,10,12,2,6
H,8,6,9,8,7,6,8,6,6,7,7,7,9,6,8,4,8
G,7,3,6,4,4,2,6,6,5,5,6,6,9,2,8,4,8
L,12,2,3,3,4,1,0,1,5,6,0,0,6,0,8,0,8
L,12,1,3,3,1,1,6,4,1,7,8,3,10,0,7,2,9
X,24,8,12,8,6,4,3,10,4,7,12,11,9,3,7,3,4
B,2,5,9,7,7,10,9,8,4,4,6,8,6,6,11,8,7
M,13,6,9,9,7,6,5,6,3,5,10,9,9,8,5,2,7
G,7,4,7,6,5,3,6,6,6,8,6,5,9,3,10,4,8
O,15,4,7,5,5,3,7,7,8,6,7,6,8,3,8,3,8
P,16,3,6,4,4,2,4,14,8,1,11,6,3,0,10,4,8
G,7,4,9,5,6,6,8,5,4,3,7,5,11,6,8,5,11
E,5,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8
X,24,5,11,8,8,4,8,8,1,8,10,5,7,3,8,4,8
E,5,3,7,4,5,4,7,7,5,8,8,8,9,3,9,6,9
X,24,4,6,7,4,3,9,7,2,8,11,3,7,3,8,4,9
G,7,4,5,5,8,3,7,6,8,8,6,6,10,1,8,6,11
V,22,7,9,6,5,2,8,10,4,5,8,10,5,4,12,3,8
X,24,4,10,5,7,5,8,7,3,8,5,6,6,3,8,6,8
W,23,5,9,6,7,8,7,9,5,3,7,9,8,6,8,3,8
G,7,1,3,2,1,1,7,7,5,6,7,5,10,1,9,3,9
R,18,8,10,8,6,6,7,7,3,5,8,4,8,6,6,7,7
S,19,3,9,4,7,2,7,5,6,10,5,6,10,0,9,9,8
Y,25,7,11,9,8,8,9,5,6,4,7,8,8,3,9,8,3
L,12,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8
Y,25,2,4,4,3,2,6,10,1,7,8,11,8,1,11,2,7
J,10,4,5,6,6,5,8,10,4,4,7,7,9,3,7,7,5
S,19,4,9,5,6,4,7,8,7,7,8,4,7,2,7,9,8
Q,17,6,9,7,11,7,8,5,7,5,9,6,9,3,8,6,8
Q,17,3,5,5,4,4,9,3,4,3,8,4,9,3,6,4,8
D,4,2,6,3,4,2,6,7,10,8,6,6,6,3,8,3,8
C,3,6,10,4,5,2,6,9,6,6,11,7,7,2,9,5,9
L,12,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9
N,14,3,3,3,5,2,7,7,13,2,5,6,8,5,8,0,8
C,3,2,3,3,1,1,5,9,4,6,11,9,11,1,9,2,8
E,5,6,9,4,4,2,7,7,4,7,10,6,10,1,9,7,9
X,24,4,9,5,6,5,7,6,3,5,6,6,9,2,8,8,8
H,8,3,3,4,1,2,8,7,5,6,7,6,8,5,8,3,7
L,12,2,3,2,4,1,0,1,5,6,0,0,6,0,8,0,8
H,8,3,5,5,4,3,7,8,3,6,10,6,8,3,8,3,8
E,5,2,3,3,2,2,7,7,5,7,7,6,8,2,8,5,10
Y,25,5,10,6,7,6,9,6,6,4,7,8,7,6,9,8,3
H,8,8,12,8,6,4,9,8,4,5,8,4,5,6,9,5,9
Q,17,5,10,5,5,4,9,6,5,6,10,6,7,4,8,9,9
Q,17,3,8,5,7,3,8,7,9,6,6,6,9,3,8,5,9
Q,17,4,6,6,4,5,8,5,6,4,6,7,10,4,7,5,9
J,10,2,8,3,6,1,13,3,8,4,13,3,11,1,6,0,8
J,10,4,7,5,5,2,8,9,1,7,14,5,6,0,8,1,8
D,4,4,5,5,4,3,7,7,7,7,7,6,5,2,8,3,7
R,18,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8
M,13,4,5,7,4,4,6,6,3,4,9,9,10,7,5,2,8
A,1,3,7,5,5,3,12,2,3,2,10,2,9,2,6,3,8
N,14,3,5,4,4,2,7,8,5,4,7,7,7,6,9,2,5
M,13,6,10,9,7,8,3,7,4,5,10,11,10,7,9,3,7
P,16,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8
C,3,6,12,5,7,4,8,5,4,3,9,9,11,4,9,8,10
P,16,6,10,8,8,7,8,5,7,5,7,6,6,3,9,8,9
N,14,2,3,3,1,1,5,9,3,3,10,8,8,4,8,0,8
W,23,3,4,4,3,2,9,10,3,2,5,9,7,6,11,0,8
V,22,3,8,5,6,6,8,7,4,1,8,7,8,5,10,4,7
V,22,6,9,9,8,10,8,7,5,5,7,6,8,8,9,9,3
M,13,6,7,9,5,7,4,7,3,5,10,10,11,8,6,3,7
E,5,4,8,5,6,4,7,7,4,8,11,8,9,2,9,5,7
N,14,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4
Y,25,8,10,8,7,4,3,10,3,7,11,12,6,1,11,3,5
W,23,4,8,5,6,3,6,8,4,1,7,8,8,8,9,0,8
O,15,6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6
N,14,4,4,4,6,2,7,7,14,2,5,6,8,6,8,0,8
H,8,4,8,5,6,5,7,10,8,5,8,5,6,3,6,7,11
O,15,4,7,5,5,3,8,7,8,5,10,6,8,3,8,3,8
N,14,4,8,5,6,4,7,7,9,4,6,4,6,3,7,3,8
H,8,4,9,5,6,2,7,6,15,1,7,7,8,3,8,0,8
U,21,7,11,8,9,4,3,9,6,7,11,11,10,3,9,2,6
Y,25,2,7,3,5,1,6,10,0,3,7,11,8,1,11,0,8
S,19,6,8,7,6,4,6,9,4,8,11,7,6,2,8,5,5
S,19,5,9,6,7,5,7,7,7,5,7,6,7,2,8,9,8
T,20,2,3,2,2,1,7,11,2,6,7,10,8,1,11,1,7
C,3,2,3,3,2,1,4,7,4,6,10,9,13,1,9,2,7
V,22,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8
T,20,5,8,5,6,3,6,12,4,7,12,9,4,2,12,2,4
K,11,7,12,6,6,3,7,8,2,7,9,7,8,5,8,3,7
D,4,3,8,4,6,4,7,8,7,6,7,7,5,3,8,3,7
W,23,2,1,3,1,1,7,8,4,0,7,8,8,6,10,0,8
I,9,2,9,3,7,2,8,7,0,7,13,6,9,0,8,1,8
E,5,3,8,3,6,2,3,7,6,10,7,6,14,0,8,7,8
F,6,6,9,8,7,4,6,12,6,6,13,7,3,2,9,2,5
I,9,3,9,4,7,3,7,7,0,7,13,6,8,0,8,1,8
H,8,5,10,7,8,8,7,7,6,6,7,6,9,3,8,4,8
U,21,4,7,4,5,2,7,5,13,5,7,14,7,3,9,0,8
C,3,2,3,3,2,1,6,8,7,7,9,7,12,1,10,3,9
F,6,5,9,6,7,7,7,6,6,4,7,7,8,5,10,9,12
A,1,3,8,5,6,3,9,2,2,3,8,2,8,2,6,3,7
Z,26,3,7,5,5,3,7,8,2,9,11,7,7,1,8,6,7
X,24,3,7,5,5,2,10,5,2,8,10,1,7,3,7,3,10
N,14,3,3,5,2,2,5,10,3,4,10,8,7,5,8,1,8
R,18,6,9,5,4,3,10,6,5,5,10,2,8,6,6,4,9
B,2,3,3,3,4,3,7,7,5,5,7,6,6,5,8,5,10
B,2,5,9,7,7,7,8,8,3,6,10,5,6,3,7,6,8
U,21,5,6,5,4,2,5,8,6,8,9,8,8,3,9,2,5
J,10,4,4,6,5,4,8,9,4,5,7,6,9,3,7,8,8
F,6,3,7,4,5,2,1,11,4,4,11,11,8,0,8,2,7
M,13,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9
H,8,1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8
A,1,2,1,4,2,1,8,1,2,2,7,2,8,2,5,2,7
O,15,5,10,4,5,3,6,6,6,2,9,6,9,5,9,4,8
E,5,1,0,1,1,1,4,7,5,8,7,6,13,0,8,6,10
U,21,3,3,3,1,1,5,8,5,7,10,9,8,3,10,2,6
A,1,3,7,5,5,3,10,4,1,2,8,3,9,2,4,2,7
X,24,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6
S,19,5,8,7,6,4,8,8,4,9,11,3,8,2,6,4,9
J,10,1,3,2,2,1,10,7,1,5,11,4,8,0,7,0,7
K,11,5,11,8,8,5,6,7,2,7,10,7,10,4,8,4,8
I,9,2,6,2,4,1,9,5,0,6,13,5,9,0,8,1,8
P,16,7,11,10,8,6,6,11,3,6,13,6,3,0,10,3,8
T,20,2,1,2,1,0,8,15,1,4,6,10,8,0,8,0,8
C,3,1,1,2,2,1,6,8,6,6,9,7,12,1,9,3,10
H,8,4,9,4,7,4,7,8,13,1,7,5,8,3,8,0,8
A,1,2,4,4,3,2,10,2,2,2,9,2,9,2,7,3,9
L,12,6,11,9,8,11,7,7,3,6,6,7,11,6,11,9,7
T,20,3,6,4,4,3,7,12,4,6,7,11,8,2,12,1,7
A,1,2,8,4,6,2,12,2,4,3,11,2,10,3,6,3,9
V,22,3,9,5,7,3,8,9,4,1,6,12,8,2,10,0,8
U,21,5,7,6,5,5,8,8,8,5,6,7,9,4,8,4,5
I,9,2,9,2,6,3,7,7,0,7,7,6,8,0,8,2,8
Z,26,8,14,8,8,5,8,5,2,9,12,6,9,3,7,6,7
V,22,4,7,6,5,6,8,8,4,2,8,7,8,7,11,5,8
M,13,5,9,7,6,7,9,7,5,5,6,7,6,10,7,4,6
L,12,4,8,6,6,4,6,5,2,8,7,2,8,1,6,3,7
O,15,3,3,5,5,2,9,6,9,7,7,5,10,3,8,4,8
B,2,4,2,5,4,4,7,7,5,6,7,6,6,2,8,7,10
A,1,8,15,7,8,4,8,2,3,2,8,5,12,5,4,5,5
K,11,6,9,9,6,7,9,6,1,7,10,3,8,3,7,3,9
H,8,3,7,4,5,4,7,7,5,6,7,6,8,3,8,3,8
T,20,7,9,7,7,5,6,10,1,8,11,9,5,2,9,3,4
W,23,6,5,7,4,4,4,11,2,2,9,9,8,7,11,1,7
F,6,3,8,3,5,1,1,12,4,5,12,11,8,0,8,2,6
A,1,3,3,5,4,1,7,6,3,0,7,0,8,2,7,1,8
E,5,3,8,3,6,3,3,6,5,9,5,4,13,0,8,6,9
M,13,4,9,5,7,4,7,7,12,1,7,9,8,8,6,0,8
B,2,4,9,5,7,6,7,8,9,6,7,6,6,2,8,8,10
M,13,3,7,5,5,6,7,8,6,4,6,6,8,5,8,7,9
Y,25,6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4
V,22,4,9,6,7,3,6,12,3,4,7,12,9,3,10,1,8
S,19,2,8,3,6,3,8,8,7,6,7,4,6,2,7,8,8
C,3,2,1,2,2,1,6,8,7,7,8,7,12,1,9,4,10
H,8,4,9,6,6,8,7,7,6,3,7,6,7,8,7,9,9
U,21,5,8,5,6,4,8,6,11,4,8,13,7,3,9,0,8
P,16,6,10,6,6,4,7,10,5,2,11,5,4,4,11,5,7
Z,26,3,8,4,6,2,7,7,4,13,10,6,8,0,8,8,8
E,5,3,4,5,2,2,7,7,2,8,11,7,9,2,8,4,8
N,14,5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8
P,16,6,10,5,6,3,5,9,6,3,10,5,6,5,9,4,7
H,8,4,5,5,4,4,7,7,6,6,7,6,7,3,8,3,6
T,20,6,11,6,8,5,6,11,3,7,11,9,5,2,12,2,4
B,2,5,5,5,8,4,7,9,10,8,7,5,7,2,8,9,10
U,21,5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8
S,19,3,4,4,6,2,8,8,6,9,5,5,5,0,8,9,7
F,6,5,6,5,8,2,1,14,5,3,12,9,5,0,8,3,6
J,10,3,9,4,7,4,9,6,1,6,11,4,7,0,6,1,6
R,18,3,6,4,4,4,6,7,5,5,7,6,7,3,7,4,9
E,5,3,2,3,4,3,7,8,5,7,7,5,9,2,8,5,10
P,16,6,9,6,4,4,8,9,5,3,10,5,5,5,10,5,6
I,9,2,2,1,4,1,7,7,1,7,7,6,8,0,8,3,8
K,11,7,10,9,8,9,7,7,5,5,7,6,7,7,6,9,13
D,4,4,10,6,7,4,8,6,8,7,4,5,3,3,8,4,8
B,2,4,7,6,5,7,9,6,4,4,6,6,7,7,8,6,7
H,8,5,10,7,8,6,7,9,8,5,8,5,6,3,7,7,10
M,13,7,10,10,7,7,9,6,2,5,9,5,7,8,6,2,8
P,16,6,11,7,8,3,4,13,9,2,10,6,4,1,10,4,8
O,15,4,8,6,6,4,8,5,8,4,7,5,8,3,8,3,8
S,19,2,8,3,6,3,8,7,7,5,7,6,7,2,9,8,8
K,11,4,7,6,5,4,3,8,3,7,11,11,12,3,8,3,5
V,22,7,10,7,8,3,3,11,4,4,10,12,8,3,10,1,8
F,6,7,11,10,8,5,6,11,2,7,14,7,4,1,10,2,7
Y,25,3,4,5,6,1,6,10,3,2,9,13,8,1,11,0,8
D,4,4,6,6,4,3,11,6,3,8,11,3,6,3,8,3,9
Z,26,1,0,1,1,0,7,7,2,10,8,6,8,0,8,6,8
Q,17,3,5,3,6,3,7,8,6,3,8,8,9,3,8,5,7
S,19,8,14,8,8,4,9,4,4,4,13,5,8,3,10,3,8
B,2,5,7,7,5,6,8,6,5,6,9,6,7,3,9,6,10
K,11,8,13,9,7,5,6,7,3,6,10,8,10,6,10,4,7
V,22,3,10,5,7,2,5,8,5,3,9,14,8,3,10,0,8
B,2,4,7,4,5,3,6,7,9,7,7,6,7,2,8,9,10
Y,25,2,2,4,4,2,6,10,1,7,7,11,9,1,11,1,8
O,15,3,4,4,3,2,7,7,7,5,7,6,8,2,8,3,8
Z,26,6,10,8,7,5,8,6,3,10,12,4,9,1,7,6,9
L,12,2,3,3,2,1,6,4,1,8,7,2,10,0,7,2,8
J,10,1,3,2,2,1,10,6,2,6,12,4,9,0,7,1,7
Z,26,1,3,3,2,1,7,8,1,9,11,7,7,1,8,5,7
A,1,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8
L,12,3,5,4,5,3,8,7,4,5,7,6,8,3,8,7,10
J,10,2,5,3,3,1,10,7,1,7,12,3,7,0,7,1,7
Q,17,5,6,6,8,5,8,7,6,3,7,7,12,3,8,6,8
N,14,1,3,2,1,1,7,8,5,3,7,7,7,4,8,1,6
Z,26,2,6,3,4,1,7,7,3,13,9,6,8,0,8,8,8
E,5,4,9,5,7,3,3,7,6,11,7,6,15,0,8,7,7
J,10,4,7,3,10,3,9,7,3,3,11,4,5,3,8,6,9
D,4,4,8,5,6,3,5,7,10,10,6,5,6,3,8,4,8
O,15,5,10,6,8,5,7,8,9,6,8,8,6,4,8,5,10
L,12,3,6,4,4,2,5,4,3,8,3,2,6,1,6,2,5
V,22,4,5,5,4,2,4,12,4,4,11,11,6,2,10,1,8
X,24,6,10,9,8,6,7,7,0,8,9,6,8,3,8,4,7
J,10,5,8,6,6,3,6,6,4,5,14,8,12,1,6,1,7
N,14,7,10,10,8,5,7,8,3,5,10,6,7,7,8,1,8
H,8,3,5,5,7,4,10,11,3,2,7,8,8,3,10,7,9
A,1,2,7,4,5,3,13,3,3,2,10,1,8,2,6,2,8
P,16,4,6,5,9,9,8,7,5,0,7,6,7,6,10,6,9
A,1,4,9,6,6,2,10,5,3,1,8,1,9,2,7,2,8
F,6,4,8,5,6,3,5,10,4,6,11,10,5,2,10,3,5
X,24,3,4,6,3,2,7,7,1,9,10,6,8,2,8,3,7
D,4,5,11,6,9,4,5,8,11,9,8,7,5,3,8,4,8
V,22,3,7,5,5,3,9,11,2,2,4,10,8,2,12,1,8
P,16,7,10,6,5,4,10,7,4,4,12,4,5,4,11,5,9
F,6,5,9,6,7,6,6,9,4,6,9,9,6,5,9,3,6
P,16,6,11,9,8,5,8,10,7,5,10,4,3,3,10,4,8
Y,25,4,10,6,8,2,9,11,0,4,6,11,8,0,10,0,8
W,23,3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8
P,16,6,9,8,7,5,6,11,7,3,11,5,3,2,10,4,8
J,10,5,6,7,7,6,7,8,4,5,7,7,8,4,6,8,6
E,5,4,2,4,4,3,8,7,6,10,6,5,9,2,8,6,8
S,19,4,8,5,6,3,7,5,6,9,5,6,10,0,9,9,8
E,5,3,7,3,5,2,3,8,6,11,7,5,14,0,8,7,8
B,2,5,9,7,7,6,7,9,5,6,10,6,6,3,8,7,8
I,9,1,9,1,7,1,7,7,0,9,7,6,8,0,8,3,8
S,19,6,8,7,6,4,9,6,4,6,10,3,8,2,8,5,10
S,19,3,8,4,6,3,8,6,8,6,7,8,9,2,10,9,8
C,3,3,7,4,5,2,5,8,6,7,6,8,13,1,8,4,10
M,13,8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8
P,16,9,10,7,5,3,6,11,6,2,11,5,5,4,10,4,8
R,18,2,4,4,3,3,7,8,4,4,9,5,8,2,6,3,10
U,21,3,8,5,6,6,8,7,4,4,6,7,8,7,9,5,6
U,21,6,6,6,4,3,4,8,5,8,11,11,9,3,9,2,6
D,4,3,8,4,6,2,5,7,10,8,7,7,5,3,8,4,8
U,21,2,1,3,1,1,7,5,11,5,7,14,8,3,10,0,8
J,10,2,5,3,4,2,10,7,2,6,11,3,7,1,6,2,7
Z,26,7,13,7,7,5,6,7,2,9,11,6,8,4,5,8,6
F,6,5,11,7,8,6,7,9,3,6,12,7,6,3,9,2,7
V,22,1,0,2,1,0,8,9,4,2,7,12,8,2,10,0,8
M,13,6,5,8,4,7,6,9,5,3,6,4,8,13,8,5,7
U,21,3,6,4,4,1,7,5,13,5,7,13,8,3,9,0,8
B,2,3,7,4,5,5,7,7,4,6,6,6,6,2,8,5,10
L,12,4,8,6,6,4,6,5,1,9,7,2,10,0,6,3,8
T,20,4,10,5,8,3,8,13,0,5,7,10,8,0,8,0,8
D,4,8,12,8,6,4,9,4,4,6,12,3,8,5,6,5,10
T,20,6,11,6,8,4,6,10,1,10,11,9,5,2,8,4,4
O,15,5,8,7,6,4,7,5,8,4,6,4,7,3,9,4,9
T,20,1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8
U,21,4,3,5,2,2,5,8,5,7,10,10,9,3,9,2,6
D,4,2,4,4,2,2,9,6,4,6,11,4,6,2,8,3,8
R,18,4,8,5,5,3,5,11,8,3,7,4,8,3,7,6,11
G,7,7,10,7,7,5,5,7,7,6,9,8,10,2,9,5,9
D,4,2,1,2,2,1,6,7,8,7,6,6,6,2,8,3,8
S,19,3,8,4,6,4,7,7,7,5,7,6,8,2,8,8,8
S,19,7,10,9,8,10,9,5,5,4,9,6,9,6,9,12,11
M,13,6,10,9,8,8,7,7,2,4,9,7,8,8,6,2,8
M,13,4,8,6,6,8,9,6,2,2,8,4,8,7,7,2,5
D,4,6,7,8,6,6,5,7,6,7,7,4,7,3,6,5,6
Z,26,4,9,6,7,4,8,6,2,9,12,5,9,3,6,8,8
W,23,4,9,7,7,5,9,8,4,1,6,9,8,7,11,0,8
C,3,2,1,3,2,1,6,8,6,7,7,8,12,1,9,4,10
K,11,3,6,4,4,4,6,7,3,7,6,6,9,3,8,6,10
J,10,6,9,9,7,5,8,5,7,7,8,6,7,2,6,4,6
A,1,6,9,8,8,8,8,7,3,5,7,8,8,6,8,4,5
D,4,5,12,5,6,4,8,7,3,6,10,5,7,5,8,7,6
C,3,4,8,6,6,4,8,8,8,6,7,6,8,4,7,4,8
V,22,3,4,4,3,1,4,12,3,3,10,11,7,2,11,1,8
S,19,4,7,4,5,2,9,10,6,9,5,6,6,0,7,8,9
F,6,4,9,6,6,4,9,8,1,6,13,5,5,1,10,2,9
A,1,5,10,7,8,5,8,3,3,1,7,1,8,5,9,5,8
B,2,3,2,4,3,3,8,7,5,6,7,6,6,2,8,6,9
N,14,2,3,3,2,2,7,9,5,4,7,6,7,5,9,2,7
U,21,6,10,5,6,3,6,6,4,4,6,7,8,5,5,2,8
S,19,4,10,5,8,5,7,7,5,8,5,6,8,0,8,9,8
Q,17,2,5,3,6,3,8,8,7,2,5,7,10,3,9,5,9
F,6,4,8,4,5,1,1,13,5,5,12,11,7,0,8,2,6
F,6,4,9,6,6,5,5,10,4,6,10,10,6,2,10,3,6
X,24,5,10,8,8,4,8,7,4,10,6,6,8,4,6,8,9
A,1,3,7,5,5,3,11,3,2,2,8,2,9,3,4,2,8
B,2,4,9,4,6,3,6,7,9,7,7,6,7,2,8,9,10
O,15,5,9,6,7,5,7,7,8,7,7,6,7,2,8,3,8
J,10,2,6,3,4,1,14,1,6,5,14,2,11,0,7,0,8
H,8,4,8,5,5,2,7,5,15,1,7,9,8,3,8,0,8
M,13,6,9,7,4,3,6,9,5,5,4,4,10,8,7,2,8
I,9,3,7,4,5,2,7,7,0,7,13,6,8,0,8,1,7
W,23,6,10,6,8,6,2,10,2,3,10,9,8,7,11,2,6
N,14,3,6,4,4,3,6,7,8,5,7,5,7,3,7,3,8
A,1,1,3,2,2,1,10,3,2,1,9,2,9,1,6,1,8
S,19,2,3,4,1,1,7,8,2,6,10,5,7,1,8,4,8
P,16,1,0,1,0,0,5,10,6,1,9,6,5,0,9,2,8
D,4,6,9,8,8,8,7,6,5,7,7,5,9,6,5,9,4
M,13,7,9,10,7,6,5,6,4,5,11,10,11,11,5,4,8
T,20,4,8,5,6,5,8,11,3,6,6,11,8,3,12,1,7
L,12,3,6,4,4,2,5,5,1,9,6,2,11,0,8,3,7
X,24,3,6,4,4,1,7,7,4,4,7,6,8,3,8,4,8
G,7,2,4,3,6,2,7,7,8,6,5,7,9,2,7,5,11
D,4,6,10,8,8,5,10,5,4,8,11,3,7,4,6,4,9
E,5,3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7
N,14,2,3,2,1,1,6,9,6,3,8,7,8,4,9,1,7
G,7,2,4,3,3,2,6,6,6,5,6,6,9,2,8,4,8
V,22,7,10,6,8,3,2,11,5,5,12,12,8,2,10,1,8
A,1,2,7,4,4,2,7,3,3,2,7,2,8,3,7,2,8
E,5,5,9,4,4,2,8,7,4,4,10,5,10,3,8,7,10
K,11,4,5,5,8,2,3,6,7,3,7,8,12,3,8,3,10
M,13,6,9,9,6,6,5,7,3,5,10,10,9,8,6,3,8
L,12,5,11,5,6,3,7,5,3,5,12,7,11,3,8,6,9
T,20,5,6,5,4,2,5,12,3,8,12,9,4,1,11,2,4
G,7,2,4,4,3,2,7,6,6,6,6,6,10,2,9,4,9
J,10,2,4,4,3,1,8,8,2,7,15,5,8,0,7,1,8
F,6,5,10,5,7,2,1,14,5,4,12,10,6,0,8,2,5
W,23,7,8,7,6,6,6,11,5,2,9,6,6,8,13,4,4
A,1,3,6,5,4,3,12,3,2,2,9,2,9,2,6,2,8
K,11,6,11,8,8,5,9,5,1,7,10,3,9,5,9,5,11
P,16,1,1,2,2,1,5,10,4,4,10,8,4,1,9,3,7
M,13,7,6,9,5,9,7,7,5,4,6,5,8,10,8,5,5
O,15,2,6,3,4,2,8,7,7,5,7,6,9,2,8,3,8
S,19,4,11,5,8,3,6,6,6,9,4,6,9,0,9,9,8
C,3,4,6,6,5,5,4,7,3,6,6,6,10,4,10,7,7
O,15,1,0,2,1,0,8,7,6,4,7,6,8,2,8,3,8
Z,26,2,1,3,2,1,7,7,5,9,6,6,9,1,8,7,8
X,24,4,9,6,7,6,9,7,3,6,7,4,5,6,6,9,8
W,23,4,4,5,3,3,6,11,5,2,8,7,6,6,11,2,6
B,2,4,9,4,6,5,6,6,8,6,6,6,7,2,8,7,9
C,3,6,11,6,8,4,4,8,5,6,12,10,11,2,10,3,7
F,6,2,4,3,3,2,5,10,3,5,10,9,5,1,10,3,6
I,9,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8
B,2,1,3,2,2,1,8,7,3,5,10,5,7,2,8,3,9
P,16,3,4,5,2,2,8,9,3,5,13,4,3,1,10,3,8
K,11,11,14,10,8,4,6,8,3,7,9,8,10,6,8,4,6
U,21,4,5,5,4,2,5,8,5,8,10,8,8,3,9,3,5
N,14,3,8,4,6,2,7,7,14,2,5,6,8,5,8,0,8
Y,25,4,11,6,8,1,7,11,2,3,8,12,8,1,11,0,8
I,9,3,5,5,6,4,8,8,4,4,7,6,8,3,7,8,8
Q,17,8,15,7,8,4,8,5,4,9,11,4,10,3,6,9,9
Q,17,4,5,4,7,4,9,7,6,2,8,6,11,3,9,6,8
Z,26,1,0,1,0,0,8,7,2,9,8,6,8,0,8,5,8
F,6,4,5,5,6,5,7,9,5,4,8,6,7,4,9,8,7
M,13,8,10,11,8,8,9,6,2,5,9,6,7,8,6,2,8
D,4,4,7,5,5,2,5,7,10,9,7,6,5,3,8,4,8
N,14,2,3,3,1,1,8,9,3,4,10,4,6,4,9,1,7
W,23,5,10,8,8,5,3,10,3,3,9,10,9,8,11,1,8
U,21,4,9,4,6,4,7,5,13,5,7,10,8,3,9,0,8
G,7,6,11,8,9,6,6,6,7,5,5,6,12,5,7,5,6
G,7,7,11,9,8,11,8,5,4,3,6,5,10,8,7,9,13
O,15,5,10,4,5,3,7,7,5,4,7,4,7,5,8,5,8
U,21,2,6,3,4,1,8,6,13,5,7,13,8,3,9,0,8
K,11,6,10,8,8,8,6,7,5,3,7,5,8,5,7,10,8
W,23,4,8,6,6,3,4,8,5,1,7,9,8,8,10,0,8
K,11,5,7,7,5,5,5,7,2,6,10,8,11,3,8,3,8
E,5,5,11,4,6,2,9,6,4,6,10,5,9,1,10,7,9
V,22,3,6,5,4,1,9,8,4,2,5,14,8,3,10,0,8
R,18,8,12,8,7,6,9,6,3,5,9,4,8,6,8,6,8
Z,26,4,11,5,8,5,9,6,6,10,7,5,6,2,7,8,8
S,19,4,10,6,7,4,7,8,3,7,10,5,7,2,6,5,8
N,14,3,6,5,4,5,7,8,3,3,8,7,8,5,9,5,4
X,24,5,11,8,8,4,5,8,2,8,10,11,9,3,9,4,6
I,9,3,6,4,4,2,5,7,3,7,7,6,12,0,8,4,9
